State,AC No.,AC Name,Winner Name,Party
Odisha,Bharatiya Janata Party - BJP,78,0,78
Odisha,Biju Janata Dal - BJD,51,0,51
Odisha,Indian National Congress - INC,14,0,14
Odisha,Communist Party of India  (Marxist) - CPI(M),1,0,1
Odisha,Independent - IND,3,0,3
